vocabulary_name,list_value_name,tid
Country,Vanuatu,270
Country,Monaco,181
Country,Senegal,228
Country,St. Martin (French part),869
Country,Vietnam,272
Country,Montenegro,183
Country,Sierra Leone,231
Country,St. Vincent and the Grenadines,223
Country,Netherlands,191
Country,Somalia,236
Country,Suriname,243
Country,Norway,201
Country,South Africa,237
Country,Trinidad and Tobago,257
Country,Poland,211
Country,South Sudan,34
Country,Turks and Caicos Islands,261
Country,Portugal,212
Country,Sudan,242
Country,Uruguay,268
Country,Romania,216
Country,Swaziland,245
Country,"Venezuela, RB",271
Country,Russian Federation,217
Country,Tanzania,251
Country,Virgin Islands (U.S.),870
Country,San Marino,225
Country,Togo,254
Country,Serbia,229
Country,Uganda,263
Country,Slovak Republic,233
Country,Zambia,279
Country,Slovenia,234
Country,Zimbabwe,280
Country,Spain,239
Country,Sweden,246
Country,Switzerland,247
Country,Tajikistan,250
Country,Turkey,259
Country,Turkmenistan,260
Country,Ukraine,264
Country,United Kingdom,266
Country,Uzbekistan,269
Country,World,848
Periodicity,Annual,474
Periodicity,Day,468
Periodicity,Hour/Minute/Second,475
Periodicity,Month,470
Periodicity,Other,882
Periodicity,Quarter,471
Periodicity,Week,469
Periodicity,Frequency not specified,987
API Format,HTML,457
API Format,JSON,458
API Format,KML,465
API Format,Other,459
API Format,REST,466
API Format,WCS,464
API Format,WFS,460
API Format,WIS,467
API Format,WMS,461
API Format,WMTS,462
API Format,WPS,463
API Format,XML,456
API Format,API Format not specified,887
Resource type,Data Visualization,984
Resource type,Landing page,1007
Resource type,Documentation,985
Resource type,Download,986
Resource type,Related Material,983
Resource type,API,621
Resource type,Code,446
Resource type,Dataset,443
Resource type,License,451
Resource type,Map View,917
Resource type,Memorandum of Understanding (MOU),453
Resource type,Metadata,454
Resource type,Mobile app,641
Resource type,Query Tool,631
Resource type,Terms of Reference,566
Resource type,Other,636
Resource type,Resource Type not specified,877
Terms of use,Data from External Repositories,438
Terms of use,Direct Access,435
Terms of use,Enclave,440
Terms of use,Esri Credits,442
Terms of use,Licensed Data Files,437
Terms of use,No Access,439
Terms of use,Open Data Access,434
Terms of use,Public Use,436
Terms of use,Restricted Data,441
Terms of use,Terms of Use Not Specified,876
Update Frequency,Annually,541
Update Frequency,Annually +,551
Update Frequency,Biannually,546
Update Frequency,Daily,516
Update Frequency,Monthly,501
Update Frequency,No fixed schedule,526
Update Frequency,No further updates planned,511
Update Frequency,Quarterly,531
Update Frequency,Triannually,536
Update Frequency,Weekly,521
Update Frequency,Update Frequency not specified,883
Status,Complete,393
Status,Obsolete,403
Status,Ongoing,390
Status,Planned,397
Status,Required,398
Status,Under Development,391
Status,Status not specified,885
World,Afghanistan,809
World,Africa,668
World,Albania,740
World,Algeria,815
World,Angola,675
World,Antigua and Barbuda,769
World,Bermuda,836
World,Cambodia,719
World,Latin America &amp; Caribbean,672
World,Argentina,800
World,Armenia,741
World,Bahrain,816
World,Bangladesh,810
World,Benin,676
World,Canada,837
World,China,720
World,East Asia and Pacific,670
World,Middle East and North Africa,674
World,Azerbaijan,742
World,"Bahamas, The",808
World,Botswana,677
World,Djibouti,817
World,Europe and Central Asia,671
World,Fiji,721
World,India,811
World,North America,835
World,United States,838
World,Barbados,802
World,Belarus,743
World,Burkina Faso,678
World,"Egypt, Arab Republic of",818
World,Indonesia,722
World,Nepal,812
World,South Asia,673
World,Belize,803
World,Bosnia and Herzegovina,744
World,Burundi,679
World,"Iran, Islam Republic of",819
World,Kiribati,723
World,Pakistan,813
World,Bolivia,774
World,Bulgaria,745
World,Ethiopia,689
World,Iraq,820
World,"Korea, Republic of",724
World,Sri Lanka,814
World,Brazil,804
World,Croatia,746
World,Equatorial Guinea,688
World,Jordan,821
World,Lao People&#039;s Democratic Republic,725
World,Cabo Verde,680
World,Chile,805
World,Cyprus,747
World,Kuwait,822
World,Malaysia,726
World,Cameroon,681
World,Colombia,806
World,Czech Republic,748
World,Lebanon,823
World,Marshall Islands,727
World,Central African Republic,682
World,Costa Rica,807
World,Estonia,749
World,Libya,824
World,"Micronesia, Federated States of",728
World,Chad,683
World,Dominica,779
World,Georgia,750
World,Malta,825
World,Mongolia,729
World,Comoros,684
World,Dominican Republic,780
World,Greenland,852
World,Morocco,826
World,Myanmar,730
World,"Congo, Democratic Republic of",685
World,El Salvador,781
World,Holy See (Vatican City State),851
World,Oman,827
World,Palau,731
World,"Congo, Republic of",686
World,Grenada,782
World,Hungary,751
World,Papua New Guinea,732
World,Qatar,828
World,Cote d&#039;Ivoire,687
World,Guatemala,783
World,Kazakhstan,752
World,Philippines,733
World,Saudi Arabia,829
World,Gabon,690
World,Guyana,784
World,Kyrgyz Republic,753
World,Samoa,734
World,Syrian Arab Republic,830
World,Guinea,693
World,Haiti,785
World,Latvia,754
World,Solomon Islands,735
World,Tunisia,831
World,Guinea - Bissau,694
World,Honduras,786
World,Lithuania,755
World,Thailand,736
World,United Arab Emirates,832
World,"Gambia, The",691
World,Jamaica,787
World,"Macedonia, former Yugoslav Republic of",756
World,Tonga,737
World,West Bank of Gaza,833
World,Ghana,692
World,Mexico,788
World,Moldova,757
World,Vanuatu,738
World,"Yemen, Republic of",834
World,Kenya,695
World,Nicaragua,789
World,Poland,758
World,Vietnam,739
World,Lesotho,696
World,Panama,790
World,Romania,759
World,Liberia,697
World,Paraguay,791
World,Russian Federation,760
World,Madagascar,698
World,Peru,792
World,Serbia,761
World,Malawi,699
World,Slovak Republic,762
World,St. Kitts and Nevis,793
World,Mali,700
World,Slovenia,763
World,St. Lucia,794
World,Mauritania,701
World,St. Vincent and the Grenadines,795
World,Tajikistan,764
World,Mauritius,702
World,Suriname,796
World,Turkey,765
World,Mozambique,703
World,Trinidad and Tobago,797
World,Turkmenistan,766
World,Namibia,704
World,Ukraine,767
World,Uruguay,798
World,Niger,705
World,Uzbekistan,768
World,"Venezuela, Republica Bolivariana de",799
World,Nigeria,706
World,Rwanda,707
World,Sao Tome and Principe,708
World,Senegal,709
World,Seychelles,710
World,Sierra Leone,711
World,South Africa,712
World,Swaziland,713
World,Tanzania,714
World,Togo,715
World,Uganda,716
World,Zambia,717
World,Zimbabwe,718
World,World,669
World,"Guernsey, C.I.",854
Working Unit VPU,DEC,894
Working Unit VPU,DFD,1004
Working Unit VPU,DFG,898
Working Unit VPU,EAC,893
Working Unit VPU,ECC,910
Working Unit VPU,ECR,895
Working Unit VPU,GCC,914
Working Unit VPU,GED,913
Working Unit VPU,GEE,896
Working Unit VPU,GEN,911
Working Unit VPU,GGO,906
Working Unit VPU,GHN,915
Working Unit VPU,GOK,999
Working Unit VPU,GPV,912
Working Unit VPU,GSD,928
Working Unit VPU,GSP,1005
Working Unit VPU,GSU,1003
Working Unit VPU,GTC,897
Working Unit VPU,GTI,907
Working Unit VPU,IEG,908
Working Unit VPU,ITS,892
Working Unit VPU,SAR,1002
Working Unit VPU,WFA,909
Programatical Country,Region/Country not specified,935
Programatical Region,East Asia &amp; Pacific,930
Programatical Region,East Asia and Pacific,904
Programatical Region,Europe &amp; Central Asia,931
Programatical Region,Europe and Central Asia,899
Programatical Region,Latin America &amp; Caribbean,905
Programatical Region,Middle East &amp; North Africa,929
Programatical Region,Middle East and North Africa,903
Programatical Region,North America,900
Programatical Region,Region/Country not specified,932
Programatical Region,South Asia,901
Programatical Region,Sub-Saharan Africa,902
Programatical Region,World,933
Harvest Source,Energy Info,1188
Harvest Source,Finances,1189
Harvest Source,Microdata,1190
Exception(s),Forecast,1196
Exception(s),Security &amp; Safety,1192
Exception(s),Analysis,1197
Exception(s),Personal,1193
Exception(s),Transactions,1198
Exception(s),Banking &amp; Billing,1199
Exception(s),Other Disclosure Regimes,1194
Exception(s),Financial,1195
Exception(s),Executive Director&#039;s Communications,1200
Exception(s),Deliberative,1201
Exception(s),Board Ethics Committee,1202
Exception(s),Bank&#039;s Prerogative to Restrict,1203
Exception(s),Client/Third Party Confidence,1204
Exception(s),Attorney-Client Privilege,1205
Exception(s),Corporate/Administrative,1206
