field_label,field_key,field_type,field_selection,field_limit,field_lovs,form,ddh_machine_name,microdata_library,mdlib_section,mdlib_field,mdlib_json_field,tid
Format,fileurlDocumentType,list,,,PNG,Basic,,,,,,
Format,fileurlDocumentType,list,,,PPT,Basic,,,,,,
Format,fileurlDocumentType,list,,,Python,Basic,,,,,,
Format,fileurlDocumentType,list,,,R,Basic,,,,,,
Format,fileurlDocumentType,list,,,RASTER,Basic,,,,,,
Format,fileurlDocumentType,list,,,SHP,Basic,,,,,,
Format,fileurlDocumentType,list,,,SPSS,Basic,,,,,,
Format,fileurlDocumentType,list,,,Stata,Basic,,,,,,
Format,fileurlDocumentType,list,,,TAB,Basic,,,,,,
Format,fileurlDocumentType,list,,,Tiff,Basic,,,,,,
Format,fileurlDocumentType,list,,,VECTOR,Basic,,,,,,
Format,fileurlDocumentType,list,,,WCS,Basic,,,,,,
Format,fileurlDocumentType,list,,,WFS,Basic,,,,,,
Format,fileurlDocumentType,list,,,WIS,Basic,,,,,,
Format,fileurlDocumentType,list,,,WMS,Basic,,,,,,
Format,fileurlDocumentType,list,,,WMTS,Basic,,,,,,
Format,fileurlDocumentType,list,,,WPS,Basic,,,,,,
Format,fileurlDocumentType,list,,,XML,Basic,,,,,,
Resource type,fileurlResourceType,list,,,API,Basic,field_resources,,,,,621
Resource type,fileurlResourceType,list,,,Landing page,Basic,field_resources,,,,,1007
Resource type,fileurlResourceType,list,,,Dataset,Basic,field_resources,,,,,443
Resource type,fileurlResourceType,list,,,Code,Basic,field_resources,,,,,446
Resource type,fileurlResourceType,list,,,Data Visualization,Basic,field_resources,,,,,984
Resource type,fileurlResourceType,list,,,Documentation,Basic,field_resources,,,,,985
Resource type,fileurlResourceType,list,,,Download,Basic,field_resources,,,,,986
Resource type,fileurlResourceType,list,,,License,Basic,field_resources,,,,,451
Resource type,fileurlResourceType,list,,,Map View,Basic,field_resources,,,,,917
Resource type,fileurlResourceType,list,,,Memorandum of Understanding (MOU),Basic,field_resources,,,,,453
Resource type,fileurlResourceType,list,,,Metadata,Basic,field_resources,,,,,454
Resource type,fileurlResourceType,list,,,Mobile app,Basic,field_resources,,,,,641
Resource type,fileurlResourceType,list,,,Other,Basic,field_resources,,,,,636
Resource type,fileurlResourceType,list,,,Query Tool,Basic,field_resources,,,,,631
Resource type,fileurlResourceType,list,,,Related Material,Basic,field_resources,,,,,983
Resource type,fileurlResourceType,list,,,Terms of Reference,Basic,field_resources,,,,,566
Resource type,fileurlResourceType,list,,,Resource Type not specified,Basic,field_resources,,,,,877
Last Revision of File URL,fileurlRevision,date,,,,Basic,,,,,,
File Title,fileurlTitle,text,,,,Basic,,,,,,
Funding Abbreviation,fundingAbbr,,,,,Microdata,,Funding Abbreviation,,,,
Funding Name,fundingName,text,,1000,,Microdata,field_wbddh_funding_name,Funding Name,,funding_agency,codebook_stdydscr_citation_prodstmt_fundag,
Funding Role,fundingRole,,,,,Microdata,,Funding Role,,,,
Region,geographicalCoverage,display,multiselect,,Africa,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,East Asia and Pacific,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,Europe and Central Asia,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,Latin America and Caribbean,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,Middle East and North Africa,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,South Asia,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Region,geographicalCoverage,display,multiselect,,Region not specified,Basic,,Geographic Coverage,coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Country,geographicalCoverage,lookup,multiselect,,Albania,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,36
Country,geographicalCoverage,lookup,multiselect,,American Samoa,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,38
Country,geographicalCoverage,lookup,multiselect,,Bangladesh,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,52
Country,geographicalCoverage,lookup,multiselect,,British Virgin Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,273
Country,geographicalCoverage,lookup,multiselect,,Lebanon,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,157
Country,geographicalCoverage,lookup,multiselect,,Middle East and North Africa,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Country,geographicalCoverage,lookup,multiselect,,Namibia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,188
Country,geographicalCoverage,lookup,multiselect,,United States,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,267
Country,geographicalCoverage,lookup,multiselect,,Afghanistan,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,35
Country,geographicalCoverage,lookup,multiselect,,Andorra,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,39
Country,geographicalCoverage,lookup,multiselect,,Australia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,47
Country,geographicalCoverage,lookup,multiselect,,Canada,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,73
Country,geographicalCoverage,lookup,multiselect,,Kuwait,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,153
Country,geographicalCoverage,lookup,multiselect,,Mozambique,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,186
Country,geographicalCoverage,lookup,multiselect,,South Asia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,843
Country,geographicalCoverage,lookup,multiselect,,"Venezuela, RB",Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,271
Country,geographicalCoverage,lookup,multiselect,,Armenia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,45
Country,geographicalCoverage,lookup,multiselect,,Bermuda,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,58
Country,geographicalCoverage,lookup,multiselect,,Bhutan,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,59
Country,geographicalCoverage,lookup,multiselect,,Brunei Darussalam,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,66
Country,geographicalCoverage,lookup,multiselect,,Europe and Central Asia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Country,geographicalCoverage,lookup,multiselect,,Jordan,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,146
Country,geographicalCoverage,lookup,multiselect,,Niger,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,196
Country,geographicalCoverage,lookup,multiselect,,Uruguay,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,268
Country,geographicalCoverage,lookup,multiselect,,Austria,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,48
Country,geographicalCoverage,lookup,multiselect,,Cambodia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,71
Country,geographicalCoverage,lookup,multiselect,,India,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,135
Country,geographicalCoverage,lookup,multiselect,,Israel,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,141
Country,geographicalCoverage,lookup,multiselect,,Nigeria,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,197
Country,geographicalCoverage,lookup,multiselect,,North America,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,844
Country,geographicalCoverage,lookup,multiselect,,Trinidad and Tobago,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,257
Country,geographicalCoverage,lookup,multiselect,,Azerbaijan,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,49
Country,geographicalCoverage,lookup,multiselect,,China,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,78
Country,geographicalCoverage,lookup,multiselect,,Latin America and Caribbean,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Country,geographicalCoverage,lookup,multiselect,,Libya,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,160
Country,geographicalCoverage,lookup,multiselect,,Pakistan,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,203
Country,geographicalCoverage,lookup,multiselect,,Reunion,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,215
Country,geographicalCoverage,lookup,multiselect,,Turks and Caicos Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,261
Country,geographicalCoverage,lookup,multiselect,,Belarus,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,54
Country,geographicalCoverage,lookup,multiselect,,Fiji,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,106
Country,geographicalCoverage,lookup,multiselect,,Honduras,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,131
Country,geographicalCoverage,lookup,multiselect,,Malta,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,171
Country,geographicalCoverage,lookup,multiselect,,Mauritius,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,175
Country,geographicalCoverage,lookup,multiselect,,Nepal,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,190
Country,geographicalCoverage,lookup,multiselect,,Sub-Saharan Africa,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,840
Country,geographicalCoverage,lookup,multiselect,,Belgium,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,55
Country,geographicalCoverage,lookup,multiselect,,East Asia and Pacific,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,
Country,geographicalCoverage,lookup,multiselect,,French Polynesia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,110
Country,geographicalCoverage,lookup,multiselect,,Jamaica,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,143
Country,geographicalCoverage,lookup,multiselect,,Maldives,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,169
Country,geographicalCoverage,lookup,multiselect,,Mauritania,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,174
Country,geographicalCoverage,lookup,multiselect,,Qatar,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,214
Country,geographicalCoverage,lookup,multiselect,,Bosnia and Herzegovina,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,61
Country,geographicalCoverage,lookup,multiselect,,Guam,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,122
Country,geographicalCoverage,lookup,multiselect,,Liberia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,159
Country,geographicalCoverage,lookup,multiselect,,Martinique,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,173
Country,geographicalCoverage,lookup,multiselect,,Oman,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,202
Country,geographicalCoverage,lookup,multiselect,,Region/Country not specified,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,874
Country,geographicalCoverage,lookup,multiselect,,Sri Lanka,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,240
Country,geographicalCoverage,lookup,multiselect,,Bulgaria,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,67
Country,geographicalCoverage,lookup,multiselect,,"Hong Kong SAR, China",Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,132
Country,geographicalCoverage,lookup,multiselect,,Lesotho,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,158
Country,geographicalCoverage,lookup,multiselect,,Mexico,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,177
Country,geographicalCoverage,lookup,multiselect,,Morocco,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,185
Country,geographicalCoverage,lookup,multiselect,,Channel Islands,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,82
Country,geographicalCoverage,lookup,multiselect,,Haiti,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,128
Country,geographicalCoverage,lookup,multiselect,,Indonesia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,136
Country,geographicalCoverage,lookup,multiselect,,Iraq,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,138
Country,geographicalCoverage,lookup,multiselect,,Madagascar,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,166
Country,geographicalCoverage,lookup,multiselect,,Croatia,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,89
Country,geographicalCoverage,lookup,multiselect,,Guyana,Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,127
Country,geographicalCoverage,lookup,multiselect,,"Iran, Islamic Rep.",Basic,field_wbddh_country,"Geographic Coverage, Country",coverage,country,codeBook/stdyDscr/stdyInfo/sumDscr/nation,137
